id,name,parent,size
1,flare,,
2,analytics,1.0,
3,cluster,2.0,
4,AgglomerativeCluster,3.0,3938.0
5,CommunityStructure,3.0,3812.0
6,HierarchicalCluster,3.0,6714.0
7,MergeEdge,3.0,743.0
8,graph,2.0,
9,BetweennessCentrality,8.0,3534.0
10,LinkDistance,8.0,5731.0
11,MaxFlowMinCut,8.0,7840.0
12,ShortestPaths,8.0,5914.0
13,SpanningTree,8.0,3416.0
14,optimization,2.0,
15,AspectRatioBanker,14.0,7074.0
16,animate,1.0,
17,Easing,16.0,17010.0
18,FunctionSequence,16.0,5842.0
19,interpolate,16.0,
20,ArrayInterpolator,19.0,1983.0
21,ColorInterpolator,19.0,2047.0
22,DateInterpolator,19.0,1375.0
23,Interpolator,19.0,8746.0
24,MatrixInterpolator,19.0,2202.0
25,NumberInterpolator,19.0,1382.0
26,ObjectInterpolator,19.0,1629.0
27,PointInterpolator,19.0,1675.0
28,RectangleInterpolator,19.0,2042.0
29,ISchedulable,16.0,1041.0
30,Parallel,16.0,5176.0
31,Pause,16.0,449.0
32,Scheduler,16.0,5593.0
33,Sequence,16.0,5534.0
34,Transition,16.0,9201.0
35,Transitioner,16.0,19975.0
36,TransitionEvent,16.0,1116.0
37,Tween,16.0,6006.0
38,data,1.0,
39,converters,38.0,
40,Converters,39.0,721.0
41,DelimitedTextConverter,39.0,4294.0
42,GraphMLConverter,39.0,9800.0
43,IDataConverter,39.0,1314.0
44,JSONConverter,39.0,2220.0
45,DataField,38.0,1759.0
46,DataSchema,38.0,2165.0
47,DataSet,38.0,586.0
48,DataSource,38.0,3331.0
49,DataTable,38.0,772.0
50,DataUtil,38.0,3322.0
51,display,1.0,
52,DirtySprite,51.0,8833.0
53,LineSprite,51.0,1732.0
54,RectSprite,51.0,3623.0
55,TextSprite,51.0,10066.0
56,flex,1.0,
57,FlareVis,56.0,4116.0
58,physics,1.0,
59,DragForce,58.0,1082.0
60,GravityForce,58.0,1336.0
61,IForce,58.0,319.0
62,NBodyForce,58.0,10498.0
63,Particle,58.0,2822.0
64,Simulation,58.0,9983.0
65,Spring,58.0,2213.0
66,SpringForce,58.0,1681.0
67,query,1.0,
68,AggregateExpression,67.0,1616.0
69,And,67.0,1027.0
70,Arithmetic,67.0,3891.0
71,Average,67.0,891.0
72,BinaryExpression,67.0,2893.0
73,Comparison,67.0,5103.0
74,CompositeExpression,67.0,3677.0
75,Count,67.0,781.0
76,DateUtil,67.0,4141.0
77,Distinct,67.0,933.0
78,Expression,67.0,5130.0
79,ExpressionIterator,67.0,3617.0
80,Fn,67.0,3240.0
81,If,67.0,2732.0
82,IsA,67.0,2039.0
83,Literal,67.0,1214.0
84,Match,67.0,3748.0
85,Maximum,67.0,843.0
86,methods,67.0,
87,add,86.0,593.0
88,and,86.0,330.0
89,average,86.0,287.0
90,count,86.0,277.0
91,distinct,86.0,292.0
92,div,86.0,595.0
93,eq,86.0,594.0
94,fn,86.0,460.0
95,gt,86.0,603.0
96,gte,86.0,625.0
97,iff,86.0,748.0
98,isa,86.0,461.0
99,lt,86.0,597.0
100,lte,86.0,619.0
101,max,86.0,283.0
102,min,86.0,283.0
103,mod,86.0,591.0
104,mul,86.0,603.0
105,neq,86.0,599.0
106,not,86.0,386.0
107,or,86.0,323.0
108,orderby,86.0,307.0
109,range,86.0,772.0
110,select,86.0,296.0
111,stddev,86.0,363.0
112,sub,86.0,600.0
113,sum,86.0,280.0
114,update,86.0,307.0
115,variance,86.0,335.0
116,where,86.0,299.0
117,xor,86.0,354.0
118,_,86.0,264.0
119,Minimum,67.0,843.0
120,Not,67.0,1554.0
121,Or,67.0,970.0
122,Query,67.0,13896.0
123,Range,67.0,1594.0
124,StringUtil,67.0,4130.0
125,Sum,67.0,791.0
126,Variable,67.0,1124.0
127,Variance,67.0,1876.0
128,Xor,67.0,1101.0
129,scale,1.0,
130,IScaleMap,129.0,2105.0
131,LinearScale,129.0,1316.0
132,LogScale,129.0,3151.0
133,OrdinalScale,129.0,3770.0
134,QuantileScale,129.0,2435.0
135,QuantitativeScale,129.0,4839.0
136,RootScale,129.0,1756.0
137,Scale,129.0,4268.0
138,ScaleType,129.0,1821.0
139,TimeScale,129.0,5833.0
140,util,1.0,
141,Arrays,140.0,8258.0
142,Colors,140.0,10001.0
143,Dates,140.0,8217.0
144,Displays,140.0,12555.0
145,Filter,140.0,2324.0
146,Geometry,140.0,10993.0
147,heap,140.0,
148,FibonacciHeap,147.0,9354.0
149,HeapNode,147.0,1233.0
150,IEvaluable,140.0,335.0
151,IPredicate,140.0,383.0
152,IValueProxy,140.0,874.0
153,math,140.0,
154,DenseMatrix,153.0,3165.0
155,IMatrix,153.0,2815.0
156,SparseMatrix,153.0,3366.0
157,Maths,140.0,17705.0
158,Orientation,140.0,1486.0
159,palette,140.0,
160,ColorPalette,159.0,6367.0
161,Palette,159.0,1229.0
162,ShapePalette,159.0,2059.0
163,SizePalette,159.0,2291.0
164,Property,140.0,5559.0
165,Shapes,140.0,19118.0
166,Sort,140.0,6887.0
167,Stats,140.0,6557.0
168,Strings,140.0,22026.0
169,vis,1.0,
170,axis,169.0,
171,Axes,170.0,1302.0
172,Axis,170.0,24593.0
173,AxisGridLine,170.0,652.0
174,AxisLabel,170.0,636.0
175,CartesianAxes,170.0,6703.0
176,controls,169.0,
177,AnchorControl,176.0,2138.0
178,ClickControl,176.0,3824.0
179,Control,176.0,1353.0
180,ControlList,176.0,4665.0
181,DragControl,176.0,2649.0
182,ExpandControl,176.0,2832.0
183,HoverControl,176.0,4896.0
184,IControl,176.0,763.0
185,PanZoomControl,176.0,5222.0
186,SelectionControl,176.0,7862.0
187,TooltipControl,176.0,8435.0
188,data,169.0,
189,Data,188.0,20544.0
190,DataList,188.0,19788.0
191,DataSprite,188.0,10349.0
192,EdgeSprite,188.0,3301.0
193,NodeSprite,188.0,19382.0
194,render,188.0,
195,ArrowType,194.0,698.0
196,EdgeRenderer,194.0,5569.0
197,IRenderer,194.0,353.0
198,ShapeRenderer,194.0,2247.0
199,ScaleBinding,188.0,11275.0
200,Tree,188.0,7147.0
201,TreeBuilder,188.0,9930.0
202,events,169.0,
203,DataEvent,202.0,2313.0
204,SelectionEvent,202.0,1880.0
205,TooltipEvent,202.0,1701.0
206,VisualizationEvent,202.0,1117.0
207,legend,169.0,
208,Legend,207.0,20859.0
209,LegendItem,207.0,4614.0
210,LegendRange,207.0,10530.0
211,operator,169.0,
212,distortion,211.0,
213,BifocalDistortion,212.0,4461.0
214,Distortion,212.0,6314.0
215,FisheyeDistortion,212.0,3444.0
216,encoder,211.0,
217,ColorEncoder,216.0,3179.0
218,Encoder,216.0,4060.0
219,PropertyEncoder,216.0,4138.0
220,ShapeEncoder,216.0,1690.0
221,SizeEncoder,216.0,1830.0
222,filter,211.0,
223,FisheyeTreeFilter,222.0,5219.0
224,GraphDistanceFilter,222.0,3165.0
225,VisibilityFilter,222.0,3509.0
226,IOperator,211.0,1286.0
227,label,211.0,
228,Labeler,227.0,9956.0
229,RadialLabeler,227.0,3899.0
230,StackedAreaLabeler,227.0,3202.0
231,layout,211.0,
232,AxisLayout,231.0,6725.0
233,BundledEdgeRouter,231.0,3727.0
234,CircleLayout,231.0,9317.0
235,CirclePackingLayout,231.0,12003.0
236,DendrogramLayout,231.0,4853.0
237,ForceDirectedLayout,231.0,8411.0
238,IcicleTreeLayout,231.0,4864.0
239,IndentedTreeLayout,231.0,3174.0
240,Layout,231.0,7881.0
241,NodeLinkTreeLayout,231.0,12870.0
242,PieLayout,231.0,2728.0
243,RadialTreeLayout,231.0,12348.0
244,RandomLayout,231.0,870.0
245,StackedAreaLayout,231.0,9121.0
246,TreeMapLayout,231.0,9191.0
247,Operator,211.0,2490.0
248,OperatorList,211.0,5248.0
249,OperatorSequence,211.0,4190.0
250,OperatorSwitch,211.0,2581.0
251,SortOperator,211.0,2023.0
252,Visualization,169.0,16540.0
